snd/rcv         time       type       sequence        payload size    ack             RTT             window size    
rcv             38.0       A          1               0               860000          510             3              
snd             38.0       D          885000          5000            1               1638            4              
snd/dup         38.0       D          870000          5000            0               1538            4              
snd             38.0       D          870000          5000            1               1538            4              
tout/RXT        38.0       D          870000          5000            0               1538            4              
rcv             38.0       A          1               0               885000          102             3              
drop            38.0       D          890000          5000            0               924             4              
rcv             38.0       A          1               0               870000          0               3              
drop            38.0       D          895000          5000            0               748             4              
snd/corr        38.0       D          875000          5000            0               848             4              
snd             38.0       D          875000          5000            1               848             4              
tout/RXT        38.0       D          875000          5000            0               848             4              
drop            38.0       D          875000          5000            0               948             4              
tout/RXT        38.0       D          875000          5000            0               948             4              
drop            38.0       D          875000          5000            0               1048            4              
tout/RXT        38.0       D          875000          5000            0               1048            4              
snd/dup         38.0       D          875000          5000            0               1148            4              
snd             38.0       D          875000          5000            1               1148            4              
tout/RXT        38.0       D          875000          5000            0               1148            4              
rcv             38.0       A          1               0               875000          402             3              
snd/corr        38.0       D          900000          5000            0               1449            4              
snd             38.0       D          900000          5000            1               1449            4              
snd/dup         38.0       D          880000          5000            0               1337            4              
snd             38.0       D          880000          5000            1               1337            4              
tout/RXT        38.0       D          880000          5000            0               1337            4              
rcv             38.0       A          1               0               880000          115             3              
drop            38.0       D          905000          5000            0               946             4              
snd/corr        38.0       D          890000          5000            0               846             4              
snd             38.0       D          890000          5000            1               846             4              
tout/RXT        38.0       D          890000          5000            0               846             4              
snd/dup         39.0       D          890000          5000            0               918             4              
snd             39.0       D          890000          5000            1               918             4              
tout/RXT        39.0       D          890000          5000            0               918             4              
rcv             39.0       A          1               0               890000          203             3              
snd/corr        39.0       D          910000          5000            0               1100            4              
snd             39.0       D          910000          5000            1               1100            4              
snd             39.0       D          895000          5000            1               1000            4              
tout/RXT        39.0       D          895000          5000            0               1000            4              
rcv             39.0       A          1               0               895000          102             3              
snd/corr        39.0       D          915000          5000            0               924             4              
snd             39.0       D          915000          5000            1               924             4              
drop            39.0       D          900000          5000            0               824             4              
tout/RXT        39.0       D          900000          5000            0               824             4              
snd/corr        39.0       D          900000          5000            0               920             4              
snd             39.0       D          900000          5000            1               920             4              
tout/RXT        39.0       D          900000          5000            0               920             4              
snd/dup         39.0       D          900000          5000            0               1024            4              
snd             39.0       D          900000          5000            1               1024            4              
tout/RXT        39.0       D          900000          5000            0               1024            4              
rcv             39.0       A          1               0               900000          304             3              
drop            39.0       D          920000          5000            0               1280            4              
snd/dely        39.0       D          905000          5000            0               1176            4              
snd             39.0       D          905000          5000            1               1060            4              
tout/RXT        39.0       D          905000          5000            0               1060            4              
rcv             39.0       A          1               0               905000          221             3              
snd/rord        39.0       D          925000          5000            0               1133            4              
snd             39.0       D          910000          5000            1               1033            4              
tout/RXT        39.0       D          910000          5000            0               1033            4              
rcv             39.0       A          1               0               910000          101             3              
snd             39.0       D          930000          5000            1               923             4              
snd             39.0       D          915000          5000            1               823             4              
tout/RXT        39.0       D          915000          5000            0               823             4              
rcv             39.0       A          1               0               930000          103             3              
snd/dup         39.0       D          935000          5000            0               925             4              
snd             39.0       D          935000          5000            1               925             4              
rcv             39.0       A          1               0               935000          1               3              
snd/corr        39.0       D          940000          5000            0               748             4              
snd             39.0       D          940000          5000            1               748             4              
snd             40.0       D          915000          5000            1               848             4              
tout/RXT        40.0       D          915000          5000            0               848             4              
rcv             40.0       A          1               0               915000          103             3              
snd             40.0       D          925000          5000            1               925             4              
rcv/DA          40.0       A          1               0               925000          1               3              
rcv/DA          40.0       A          1               0               925000          1               2              
drop            40.0       D          930000          5000            0               748             3              
snd             40.0       D          935000          5000            1               748             4              
rcv             40.0       A          1               0               935000          0               3              
drop            40.0       D          940000          5000            0               748             4              
drop            40.0       D          920000          5000            0               848             4              
tout/RXT        40.0       D          920000          5000            0               848             4              
snd/corr        40.0       D          920000          5000            0               948             4              
snd             40.0       D          920000          5000            1               948             4              
tout/RXT        40.0       D          920000          5000            0               948             4              
snd/corr        40.0       D          920000          5000            0               1048            4              
snd             40.0       D          920000          5000            1               1048            4              
tout/RXT        40.0       D          920000          5000            0               1048            4              
drop            40.0       D          920000          5000            0               1148            4              
tout/RXT        40.0       D          920000          5000            0               1148            4              
snd/dely        40.0       D          920000          5000            0               1248            4              
snd             40.0       D          920000          5000            1               1356            4              
tout/RXT        40.0       D          920000          5000            0               1356            4              
snd/dup         40.0       D          920000          5000            0               1460            4              
snd             40.0       D          920000          5000            1               1460            4              
tout/RXT        40.0       D          920000          5000            0               1460            4              
rcv             40.0       A          1               0               920000          712             3              
drop            40.0       D          945000          5000            0               1994            4              
snd/corr        40.0       D          940000          5000            0               1890            4              
snd             40.0       D          940000          5000            1               1890            4              
tout/RXT        40.0       D          940000          5000            0               1890            4              
snd/dely        40.0       D          940000          5000            0               1790            4              
snd             41.0       D          940000          5000            1               1558            4              
tout/RXT        41.0       D          940000          5000            0               1558            4              
rcv             41.0       A          1               0               940000          991             3              
rcv             41.0       A          1               0               940000          991             2              
snd/dely        41.0       D          950000          5000            0               2479            3              
snd             41.0       D          930000          5000            1               2379            3              
tout/RXT        41.0       D          930000          5000            0               2379            3              
rcv             41.0       A          1               0               930000          100             2              
snd/dup         41.0       D          945000          5000            0               923             2              
snd             41.0       D          945000          5000            1               923             2              
tout/RXT        41.0       D          945000          5000            0               923             2              
rcv             41.0       A          1               0               945000          202             1              
snd/corr        42.0       D          950000          5000            0               999             1              
snd             42.0       D          950000          5000            1               999             1              
tout/RXT        42.0       D          950000          5000            0               999             1              
snd             42.0       D          950000          5000            1               1099            1              
tout/RXT        42.0       D          950000          5000            0               1099            1              
rcv             42.0       A          1               0               950000          404             0              
snd             42.0       D          950000          5000            1               1207            0              
drop            42.0       D          955000          5000            0               1455            1              
snd/dup         42.0       D          960000          5000            0               1455            2              
snd             42.0       D          960000          5000            1               1455            2              
drop            42.0       D          965000          5000            0               1455            3              
snd/dup         42.0       D          970000          5000            0               1455            4              
snd             42.0       D          970000          5000            1               1455            4              
rcv             42.0       A          1               0               960000          2               3              
drop            42.0       D          955000          5000            0               749             4              
rcv             42.0       A          1               0               970000          1               3              
drop            42.0       D          960000          5000            0               748             4              
snd/dup         42.0       D          955000          5000            0               848             4              
snd             42.0       D          955000          5000            1               848             4              
tout/RXT        42.0       D          955000          5000            0               848             4              
rcv             42.0       A          1               0               955000          102             3              
rcv             42.0       A          1               0               955000          0               3              
snd/rord        42.0       D          965000          5000            0               748             3              
snd/dup         42.0       D          970000          5000            0               748             4              
snd             42.0       D          970000          5000            1               748             4              
rcv             42.0       A          1               0               970000          1               3              
snd/dely        42.0       D          975000          5000            0               748             4              
snd             42.0       D          965000          5000            1               844             4              
tout/RXT        42.0       D          965000          5000            0               844             4              
snd/dup         42.0       D          965000          5000            0               948             4              
snd             42.0       D          965000          5000            1               948             4              
tout/RXT        42.0       D          965000          5000            0               948             4              
rcv             42.0       A          1               0               965000          202             3              
rcv             42.0       A          1               0               965000          202             2              
snd             42.0       D          975000          5000            1               959             2              
snd             42.0       D          960000          5000            1               1099            3              
drop            42.0       D          965000          5000            0               1099            4              
rcv             42.0       A          1               0               975000          1               3              
snd/corr        42.0       D          970000          5000            0               748             4              
snd             42.0       D          970000          5000            1               748             4              
rcv             42.0       A          1               0               960000          0               3              
rcv             42.0       A          1               0               960000          0               2              
snd             42.0       D          975000          5000            1               748             3              
snd/dup         42.0       D          980000          5000            0               748             4              
snd             42.0       D          980000          5000            1               748             4              
snd             42.0       D          970000          5000            1               748             4              
snd/RXT         42.0       D          970000          5000            0               748             4              
rcv             42.0       A          1               0               975000          1               3              
drop            42.0       D          985000          5000            0               748             4              
rcv             42.0       A          1               0               965000          1               3              
drop            42.0       D          990000          5000            0               748             4              
rcv             42.0       A          1               0               980000          0               3              
snd/rord        42.0       D          995000          5000            0               748             4              
rcv             42.0       A          1               0               970000          1               3              
snd             42.0       D          1000000         5000            1               748             4              
snd             42.0       D          985000          5000            1               848             4              
tout/RXT        42.0       D          985000          5000            0               848             4              
rcv             42.0       A          1               0               1000000         103             3              
snd             42.0       D          1005000         5000            1               925             4              
rcv             42.0       A          1               0               1005000         1               3              
snd/corr        42.0       D          1010000         5000            0               748             4              
snd             42.0       D          1010000         5000            1               748             4              
snd             42.0       D          985000          5000            1               848             4              
tout/RXT        42.0       D          985000          5000            0               848             4              
rcv             42.0       A          1               0               985000          101             3              
snd/rord        42.0       D          1015000         5000            0               923             4              
snd             42.0       D          990000          5000            1               823             4              
tout/RXT        42.0       D          990000          5000            0               823             4              
snd             43.0       D          990000          5000            1               923             4              
tout/RXT        43.0       D          990000          5000            0               923             4              
rcv             43.0       A          1               0               990000          203             3              
snd             43.0       D          1020000         5000            1               1100            4              
drop            43.0       D          995000          5000            0               1000            4              
tout/RXT        43.0       D          995000          5000            0               1000            4              
snd             43.0       D          995000          5000            1               900             4              
tout/RXT        43.0       D          995000          5000            0               900             4              
rcv             43.0       A          1               0               995000          203             3              
snd             43.0       D          1025000         5000            1               1100            4              
rcv             43.0       A          1               0               1025000         1               3              
drop            43.0       D          1030000         5000            0               748             4              
drop            43.0       D          1010000         5000            0               848             4              
tout/RXT        43.0       D          1010000         5000            0               848             4              
snd/rord        43.0       D          1010000         5000            0               948             4              
tout/RXT        43.0       D          1010000         5000            0               948             4              
drop            43.0       D          1010000         5000            0               1048            4              
tout/RXT        43.0       D          1010000         5000            0               1048            4              
snd/dup         43.0       D          1010000         5000            0               1148            4              
snd             43.0       D          1010000         5000            1               1148            4              
tout/RXT        43.0       D          1010000         5000            0               1148            4              
rcv             43.0       A          1               0               1010000         406             3              
drop            43.0       D          1015000         5000            0               1456            4              
drop            43.0       D          1015000         5000            0               1356            4              
tout/RXT        43.0       D          1015000         5000            0               1356            4              
snd             43.0       D          1015000         5000            1               1256            4              
tout/RXT        43.0       D          1015000         5000            0               1256            4              
rcv/DA          43.0       A          1               0               1015000         202             3              
rcv/DA          43.0       A          1               0               1015000         202             2              
drop            43.0       D          1020000         5000            0               1099            3              
snd/corr        43.0       D          1025000         5000            0               1099            4              
snd             43.0       D          1025000         5000            1               1099            4              
drop            43.0       D          1025000         5000            0               1099            4              
snd/RXT         43.0       D          1025000         5000            0               1099            4              
snd             43.0       D          1020000         5000            1               999             4              
tout/RXT        43.0       D          1020000         5000            0               999             4              
rcv             43.0       A          1               0               1020000         102             3              
rcv             43.0       A          1               0               1020000         102             2              
snd/dup         43.0       D          1030000         5000            0               924             3              
snd             43.0       D          1030000         5000            1               924             3              
drop            43.0       D          1035000         5000            0               924             4              
rcv             43.0       A          1               0               1030000         1               3              
rcv             43.0       A          1               0               1030000         1               2              
snd             43.0       D          1040000         5000            1               748             3              
drop            43.0       D          1045000         5000            0               748             4              
snd/rord        44.0       D          1025000         5000            0               848             4              
tout/RXT        44.0       D          1025000         5000            0               848             4              
snd/dup         44.0       D          1025000         5000            0               948             4              
snd             44.0       D          1025000         5000            1               948             4              
tout/RXT        44.0       D          1025000         5000            0               948             4              
rcv/DA          44.0       A          1               0               1025000         202             3              
drop            44.0       D          1030000         5000            0               1099            4              
snd/dup         44.0       D          1035000         5000            0               999             4              
snd             44.0       D          1035000         5000            1               999             4              
tout/RXT        44.0       D          1035000         5000            0               999             4              
rcv             44.0       A          1               0               1040000         101             3              
snd/dup         44.0       D          1015000         5000            0               923             4              
snd             44.0       D          1015000         5000            1               923             4              
rcv/DA          44.0       A          1               0               1035000         1               3              
snd             44.0       D          1020000         5000            1               748             4              
rcv             44.0       A          1               0               1015000         0               3              
snd/corr        44.0       D          1025000         5000            0               748             4              
snd             44.0       D          1025000         5000            1               748             4              
rcv             44.0       A          1               0               1020000         1               3              
drop            44.0       D          1030000         5000            0               748             4              
snd/dup         44.0       D          1025000         5000            0               748             4              
snd             44.0       D          1025000         5000            1               748             4              
snd/RXT         44.0       D          1025000         5000            0               748             4              
rcv             44.0       A          1               0               1025000         2               3              
drop            44.0       D          1035000         5000            0               749             4              
drop            44.0       D          1045000         5000            0               845             4              
tout/RXT        44.0       D          1045000         5000            0               845             4              
snd/corr        44.0       D          1045000         5000            0               945             4              
snd             44.0       D          1045000         5000            1               945             4              
tout/RXT        44.0       D          1045000         5000            0               945             4              
snd             44.0       D          1045000         5000            1               1049            4              
tout/RXT        44.0       D          1045000         5000            0               1049            4              
rcv             44.0       A          1               0               1045000         303             3              
snd/corr        44.0       D          1040000         5000            0               1275            4              
snd             44.0       D          1040000         5000            1               1275            4              
drop            44.0       D          1040000         5000            0               1275            4              
snd/RXT         44.0       D          1040000         5000            0               1275            4              
snd             44.0       D          1030000         5000            1               1175            4              
tout/RXT        44.0       D          1030000         5000            0               1175            4              
rcv             44.0       A          1               0               1030000         102             3              
rcv             44.0       A          1               0               1030000         102             2              
drop            44.0       D          1045000         5000            0               924             3              
drop            44.0       D          1050000         5000            0               924             4              
snd/corr        44.0       D          1035000         5000            0               824             4              
snd             44.0       D          1035000         5000            1               824             4              
tout/RXT        44.0       D          1035000         5000            0               824             4              
snd/dup         44.0       D          1035000         5000            0               824             4              
snd             44.0       D          1035000         5000            1               824             4              
snd/RXT         44.0       D          1035000         5000            0               824             4              
rcv             44.0       A          1               0               1035000         102             3              
snd/corr        44.0       D          1055000         5000            0               924             4              
snd             44.0       D          1055000         5000            1               924             4              
snd/dup         44.0       D          1045000         5000            0               924             4              
snd             44.0       D          1045000         5000            1               924             4              
snd/RXT         44.0       D          1045000         5000            0               924             4              
rcv             44.0       A          1               0               1045000         2               3              
snd             44.0       D          1060000         5000            1               749             4              
drop            44.0       D          1040000         5000            0               857             4              
tout/RXT        44.0       D          1040000         5000            0               857             4              
drop            44.0       D          1040000         5000            0               957             4              
tout/RXT        44.0       D          1040000         5000            0               957             4              
snd             45.0       D          1040000         5000            1               1061            4              
tout/RXT        45.0       D          1040000         5000            0               1061            4              
rcv             45.0       A          1               0               1040000         314             3              
snd/rord        45.0       D          1045000         5000            0               1295            4              
snd             45.0       D          1050000         5000            1               1195            4              
tout/RXT        45.0       D          1050000         5000            0               1195            4              
rcv/DA          45.0       A          1               0               1060000         101             3              
snd             45.0       D          1050000         5000            1               923             4              
rcv             45.0       A          1               0               1050000         1               3              
rcv             45.0       A          1               0               1050000         1               2              
snd             45.0       D          1055000         5000            1               748             3              
snd/corr        45.0       D          1060000         5000            0               748             4              
snd             45.0       D          1060000         5000            1               748             4              
rcv             45.0       A          1               0               1060000         1               3              
snd/corr        45.0       D          1065000         5000            0               748             4              
snd             45.0       D          1065000         5000            1               748             4              
rcv             45.0       A          1               0               1045000         1               3              
snd/corr        45.0       D          1070000         5000            0               748             4              
snd             45.0       D          1070000         5000            1               748             4              
snd/rord        45.0       D          1055000         5000            0               848             4              
tout/RXT        45.0       D          1055000         5000            0               848             4              
snd             45.0       D          1055000         5000            1               948             4              
tout/RXT        45.0       D          1055000         5000            0               948             4              
rcv             45.0       A          1               0               1055000         203             3              
rcv             45.0       A          1               0               1055000         203             2              
snd/dup         45.0       D          1075000         5000            0               1100            3              
snd             45.0       D          1075000         5000            1               1100            3              
snd             45.0       D          1080000         5000            1               1100            4              
rcv             45.0       A          1               0               1075000         2               3              
drop            45.0       D          1085000         5000            0               749             4              
rcv             45.0       A          1               0               1080000         0               3              
snd             45.0       D          1090000         5000            1               748             4              
snd/corr        45.0       D          1065000         5000            0               848             4              
snd             45.0       D          1065000         5000            1               848             4              
tout/RXT        45.0       D          1065000         5000            0               848             4              
snd             45.0       D          1090000         5000            1               848             4              
snd/RXT         45.0       D          1090000         5000            0               848             4              
rcv             45.0       A          1               0               1090000         103             3              
snd/dup         45.0       D          1095000         5000            0               925             4              
snd             45.0       D          1095000         5000            1               925             4              
rcv             45.0       A          1               0               1095000         1               3              
snd             45.0       D          1100000         5000            1               748             4              
rcv             45.0       A          1               0               1100000         1               3              
snd/corr        45.0       D          1105000         5000            0               748             4              
snd             45.0       D          1105000         5000            1               748             4              
drop            45.0       D          1065000         5000            0               844             4              
tout/RXT        45.0       D          1065000         5000            0               844             4              
snd/dup         45.0       D          1065000         5000            0               948             4              
snd             45.0       D          1065000         5000            1               948             4              
tout/RXT        45.0       D          1065000         5000            0               948             4              
rcv             45.0       A          1               0               1065000         202             3              
snd             45.0       D          1110000         5000            1               1099            4              
snd/rord        45.0       D          1070000         5000            0               999             4              
tout/RXT        45.0       D          1070000         5000            0               999             4              
drop            45.0       D          1070000         5000            0               899             4              
tout/RXT        45.0       D          1070000         5000            0               899             4              
drop            46.0       D          1070000         5000            0               999             4              
tout/RXT        46.0       D          1070000         5000            0               999             4              
snd/dup         46.0       D          1070000         5000            0               1099            4              
snd             46.0       D          1070000         5000            1               1099            4              
tout/RXT        46.0       D          1070000         5000            0               1099            4              
rcv             46.0       A          1               0               1110000         405             3              
snd/dup         46.0       D          1115000         3250            0               1455            4              
snd             46.0       D          1115000         3250            1               1455            4              
rcv             46.0       A          1               0               1070000         0               3              
rcv             46.0       A          1               0               1115000         1               2              
snd             46.0       D          1085000         5000            1               848             2              
tout/RXT        46.0       D          1085000         5000            0               848             2              
snd/corr        46.0       D          1085000         5000            0               948             2              
snd             46.0       D          1085000         5000            1               948             2              
tout/RXT        46.0       D          1085000         5000            0               948             2              
snd/dup         46.0       D          1085000         5000            0               948             2              
snd             46.0       D          1085000         5000            1               948             2              
snd/RXT         46.0       D          1085000         5000            0               948             2              
rcv             46.0       A          1               0               1085000         206             1              
snd/corr        46.0       D          1100000         5000            0               1106            2              
snd             46.0       D          1100000         5000            1               1106            2              
drop            46.0       D          1105000         5000            0               1106            3              
drop            46.0       D          1110000         5000            0               1106            4              
snd             46.0       D          1100000         5000            1               1106            4              
snd/RXT         46.0       D          1100000         5000            0               1106            4              
rcv             46.0       A          1               0               1100000         2               3              
snd             46.0       D          1115000         3250            1               749             4              
rcv             46.0       A          1               0               1115000         0               3              
snd/dely        46.0       D          1105000         5000            0               848             3              
snd             46.0       D          1105000         5000            1               1292            3              
tout/RXT        46.0       D          1105000         5000            0               1292            3              
drop            46.0       D          1105000         5000            0               1396            3              
tout/RXT        46.0       D          1105000         5000            0               1396            3              
snd             47.0       D          1105000         5000            1               1496            3              
tout/RXT        47.0       D          1105000         5000            0               1496            3              
rcv             47.0       A          1               0               1105000         750             2              
rcv             47.0       A          1               0               1105000         750             1              
snd/dup         47.0       D          1110000         5000            0               1410            1              
snd             47.0       D          1110000         5000            1               1410            1              
tout/RXT        47.0       D          1110000         5000            0               1410            1              
